target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime
ling,738.4001326,552.2808269,0.164600966,-0.477839712,24.04122957,24.99941911,0.085705689,0.081982963,98,104,-186.1193057,-0.642440678
stupid,615.1422026,524.87275,-0.217179984,-0.594131779,10.19857326,7.563228118,0.035120403,0.02487866,385,384,-90.26945259,-0.376951795
alien,654.7332369,582.6823461,-0.011758078,-0.329533537,9.335570704,9.78795316,0.032429678,0.032738693,363,341,-72.05089086,-0.317775458
fingerprint,681.580567,622.1710853,0.060881977,-0.208716476,10.75137916,9.661621248,0.036776615,0.027043925,358,375,-59.40948169,-0.269598453
video,602.2281507,545.4933257,-0.265138741,-0.511410743,9.349971308,9.930090643,0.034151478,0.031369919,385,350,-56.73482493,-0.246272002
cynical,754.6116702,713.0663345,0.308952817,0.221260749,15.1388104,13.18208167,0.048602597,0.045475295,282,284,-41.54533571,-0.087692068
star,549.7284611,509.0354504,-0.468223616,-0.596393206,8.029716167,7.72851792,0.028286135,0.027345976,360,333,-40.69301065,-0.12816959
greet,591.599238,553.7946686,-0.308394283,-0.447907657,11.10769422,9.332955647,0.036873514,0.031082724,353,350,-37.80456939,-0.139513374
easy,539.3568182,504.0796313,-0.520244705,-0.653402546,9.261438127,7.467747977,0.030995237,0.026493531,385,358,-35.27718691,-0.133157841
gift,542.0047346,508.5647475,-0.504687356,-0.614090815,8.516717179,8.065590463,0.03011272,0.026482052,358,400,-33.43998715,-0.109403459
family,551.3804568,520.2138489,-0.498469212,-0.603380953,8.708877351,8.286782943,0.029931794,0.026390313,359,331,-31.16660789,-0.104911742
stop,530.6490419,502.3925733,-0.564205682,-0.651902751,7.923111637,7.275256954,0.027458326,0.025935371,382,382,-28.25646859,-0.087697069
tragic,567.9059537,541.1238545,-0.420412949,-0.486843873,10.41230123,8.148063478,0.032974657,0.02799771,367,385,-26.78209914,-0.066430924
subject,529.5907333,502.8911355,-0.544316378,-0.607637281,9.86582967,7.214917733,0.03302932,0.025133001,330,310,-26.69959783,-0.063320903
cap,583.1445707,556.6943244,-0.371573652,-0.422029905,10.37148608,8.897763515,0.033436603,0.033078641,368,332,-26.4502463,-0.050456254
forever,560.8075555,535.2829445,-0.485941142,-0.535542436,10.22844008,9.012543027,0.031470695,0.030058811,360,360,-25.52461109,-0.049601294
reply,571.6045972,547.0510811,-0.403649495,-0.481589551,10.92366754,8.352703518,0.034271682,0.030267436,360,345,-24.55351608,-0.077940055
challenge,557.9418429,534.8166264,-0.465168487,-0.53634123,9.436967444,8.46558829,0.029435509,0.028606545,382,356,-23.12521652,-0.071172743
loan,575.3938575,552.4080743,-0.357796834,-0.449962017,8.628920181,7.877216717,0.030376892,0.02861415,365,350,-22.98578325,-0.092165183
patrol,608.0202817,585.2018295,-0.279894508,-0.321440764,11.8982758,9.47940725,0.038255739,0.032940979,323,352,-22.81845219,-0.041546256
valley,593.6520484,571.1400924,-0.323062661,-0.378056962,10.61267534,9.314343468,0.033082811,0.031630552,351,357,-22.51195599,-0.054994301
audience,563.2587566,541.8465581,-0.424012886,-0.496212506,8.1034746,7.578407618,0.02741254,0.024900015,378,353,-21.41219854,-0.072199621
test,553.5023704,532.3092487,-0.481495507,-0.567996995,10.17391963,8.791440396,0.032412316,0.027365131,351,378,-21.19312169,-0.086501488
meeting,546.8322397,525.7535854,-0.483286411,-0.563364676,8.092960139,7.682213775,0.028823844,0.027491742,363,369,-21.07865431,-0.080078265
duty,592.3115027,571.5286415,-0.302028495,-0.388340812,10.08315708,9.887823925,0.032124382,0.034293278,372,332,-20.78286114,-0.086312316
disappointment,651.7511631,631.2954852,-0.110433432,-0.137547706,10.62938704,10.84782415,0.030565777,0.032027083,374,338,-20.45567789,-0.027114274
computer,535.347126,515.2505584,-0.574290702,-0.623782335,7.920368657,8.30847465,0.025152088,0.025419468,381,351,-20.0965676,-0.049491633
demonstration,687.80149,667.7146166,0.036534062,-0.002941253,12.12301542,10.11486152,0.037781205,0.029942299,349,373,-20.08687335,-0.039475315
army,571.1706,551.1355573,-0.417655788,-0.460096593,9.963647551,8.919232108,0.032298384,0.028480282,355,384,-20.03504271,-0.042440805
injection,613.7846593,594.0917521,-0.251865576,-0.327269018,10.93502809,9.53644917,0.032259225,0.027946227,364,363,-19.69290728,-0.075403442
crazy,530.6642546,511.5727014,-0.551613845,-0.637620038,8.309295632,7.811816883,0.028233308,0.024807589,346,365,-19.09155324,-0.086006193
ceremony,606.4736077,587.458967,-0.252370292,-0.347940108,10.13614962,8.977644711,0.030915963,0.029081638,390,333,-19.01464072,-0.095569816
electricity,590.4273536,571.5578581,-0.323003611,-0.365665831,10.90433004,8.787151554,0.031334399,0.030110975,379,303,-18.8694955,-0.04266222
assistance,599.1350425,580.398702,-0.279549947,-0.323382023,9.313485644,8.877718474,0.029928999,0.028492773,400,349,-18.7363405,-0.043832076
promise,570.3720418,551.751659,-0.438772666,-0.513179615,8.985422383,8.476225702,0.028647495,0.026936489,359,349,-18.62038275,-0.074406949
rope,568.2036647,549.6625502,-0.438313382,-0.464767136,9.367237655,8.880854718,0.032836129,0.030720626,334,349,-18.54111452,-0.026453754
effect,556.9643447,539.0241638,-0.464272852,-0.470112752,9.966029582,9.682525602,0.034762512,0.034351191,383,342,-17.9401809,-0.0058399
possibility,594.6372751,577.1027665,-0.338759315,-0.381430883,9.683413553,9.640310701,0.030302228,0.029732963,378,364,-17.53450867,-0.042671568
faithful,590.5975601,573.1958886,-0.393504891,-0.36091665,12.35328834,9.803494028,0.035980662,0.030865016,316,350,-17.40167156,0.032588241
confess,592.536997,575.2750633,-0.36470252,-0.344364014,12.18705301,8.763645904,0.035211228,0.033520631,336,332,-17.26193376,0.020338507
lover,546.4051994,529.3527826,-0.518784697,-0.584862518,9.444735833,7.772071861,0.028902465,0.027287655,351,368,-17.0524168,-0.066077821
camping,576.9259076,559.9149223,-0.39245173,-0.417557739,9.574359125,9.598421119,0.030629723,0.031847344,357,373,-17.01098529,-0.025106009
happen,539.5751509,522.7204484,-0.548690357,-0.576932581,9.918027293,7.567971745,0.031096285,0.027353253,371,368,-16.85470256,-0.028242224
likely,551.3104786,534.5245315,-0.486645953,-0.518109942,9.236145966,8.758883358,0.028569219,0.02874751,374,365,-16.78594709,-0.031463989
accusation,710.8953343,694.1548856,0.129277397,0.107046738,11.98415444,12.39872953,0.037423094,0.043158035,335,306,-16.74044873,-0.022230659
expect,558.7597618,543.0015748,-0.442511625,-0.498346962,9.58170903,9.046115669,0.033480976,0.029654753,361,341,-15.75818699,-0.055835337
eventually,577.019128,561.2789248,-0.385304621,-0.425272892,9.652407376,9.376334562,0.032626364,0.031781218,375,306,-15.74020317,-0.039968271
teenager,560.5879853,544.9316955,-0.435723295,-0.466697417,10.29243957,7.891412457,0.033413016,0.02811689,340,358,-15.65628977,-0.030974123
definition,582.8752229,567.7165809,-0.350141738,-0.427544328,9.540002443,8.465115271,0.030651282,0.027693608,323,346,-15.15864196,-0.077402589
truck,546.4695308,531.3140658,-0.512660032,-0.565233364,8.722638587,7.577970557,0.026763373,0.025907927,373,365,-15.15546508,-0.052573333
people,521.4670815,506.4241743,-0.618734642,-0.644208981,7.412562043,6.763324128,0.023718723,0.023925631,356,350,-15.04290718,-0.025474339
pressure,568.1709471,553.1490812,-0.403615816,-0.473473346,9.337139176,8.5764192,0.030218851,0.02768117,359,394,-15.02186585,-0.06985753
literature,602.1785745,587.1971038,-0.289664592,-0.320009468,10.78190471,8.458528619,0.030992816,0.029198838,369,337,-14.98147069,-0.030344876
fantasy,581.4393559,566.6331772,-0.402735599,-0.433261089,11.33690027,9.180206856,0.034878451,0.02850571,354,350,-14.80617878,-0.030525489
traditional,579.3310574,564.6067265,-0.375102469,-0.404173518,9.081716834,8.290766121,0.028411594,0.027175217,366,362,-14.72433085,-0.029071049
hammer,594.660274,580.0551529,-0.320941997,-0.312091542,9.563577488,9.664918952,0.029008209,0.033916211,354,340,-14.60512108,0.008850455
huge,554.0693826,539.4791357,-0.45296716,-0.513144269,9.078796912,8.215552419,0.031612565,0.028752086,371,376,-14.59024697,-0.060177109
shelter,593.8648481,579.4360177,-0.299498974,-0.366234247,10.26419684,9.599422977,0.033208531,0.032703402,349,338,-14.4288304,-0.066735272
failure,571.0990854,556.7792127,-0.38791715,-0.434745382,10.15660531,9.200521756,0.033955532,0.030388423,363,362,-14.31987268,-0.046828232
remain,579.2492493,565.0333051,-0.367504242,-0.402469602,10.75817114,8.093915393,0.035507187,0.028458595,365,354,-14.21594423,-0.03496536
surgery,564.4667892,550.4377165,-0.462785212,-0.471375626,9.845863059,7.866379918,0.029969117,0.027160448,370,395,-14.02907273,-0.008590414
legal,537.7270668,523.8377922,-0.549086071,-0.537646878,8.351837481,8.772799533,0.028174253,0.029944993,374,361,-13.8892746,0.011439193
steel,553.7781104,540.162379,-0.451097898,-0.475823647,9.267862635,8.103315993,0.032968108,0.031770667,346,343,-13.61573136,-0.024725749
really,525.8874945,512.3266168,-0.598881705,-0.646215628,8.929475159,8.759249696,0.029725108,0.02680407,362,334,-13.56087771,-0.047333924
disease,600.504662,586.948744,-0.306944125,-0.35754118,11.28793556,9.123580981,0.03487201,0.029005809,355,375,-13.55591796,-0.050597055
trial,564.0532267,550.5502436,-0.439783989,-0.478308019,8.411506218,9.089787893,0.029923698,0.029612992,397,390,-13.50298312,-0.038524029
informant,698.5939184,685.1226934,0.100697363,0.076555788,14.44531681,13.00982128,0.046724489,0.04745461,331,349,-13.47122501,-0.024141575
event,556.5878609,543.3213529,-0.434620608,-0.481407982,9.29793811,9.320262343,0.032043326,0.031808816,345,340,-13.26650793,-0.046787374
happy,514.1954801,500.9479209,-0.616961024,-0.658667138,8.208596999,6.975127364,0.029794758,0.025383044,377,379,-13.24755926,-0.041706114
vision,558.4513451,545.2512095,-0.439970647,-0.483382528,7.992273058,7.993574435,0.02701736,0.028538708,368,377,-13.20013556,-0.043411881
save,530.8615,517.8485657,-0.566815022,-0.61434401,8.807521263,7.833530841,0.02819893,0.027814102,380,327,-13.01293425,-0.047528987
stroll,626.4778127,613.5420378,-0.207460149,-0.192342562,11.41446887,11.15404337,0.03716865,0.038170824,363,344,-12.9357749,0.015117587
captain,545.6775026,532.8948693,-0.508712401,-0.514473265,9.544134952,7.947942153,0.026280167,0.026206259,380,352,-12.78263331,-0.005760864
dawn,585.61108,572.8601649,-0.354416115,-0.414322393,10.48850317,9.52632115,0.036566932,0.032501601,350,379,-12.75091506,-0.059906278
specialist,608.4817367,595.8370128,-0.243053193,-0.269152902,9.362031948,9.426902415,0.030771017,0.032264898,357,313,-12.64472392,-0.026099709
fly,543.9765057,531.5259377,-0.498183374,-0.523528178,8.461943183,7.440185445,0.029853006,0.025153794,348,353,-12.45056806,-0.025344804
suspect,574.4882149,562.1949257,-0.42454783,-0.421887588,10.60529102,8.808219461,0.032856248,0.031108079,335,404,-12.29328918,0.002660242
hiv,722.2011338,710.3744571,0.173911655,0.143797612,19.03956293,29.66099255,0.057319104,0.092804109,227,70,-11.82667671,-0.030114042
very,525.7056649,513.8916282,-0.55249325,-0.632841511,8.504639169,7.39874043,0.030324495,0.025576712,373,347,-11.81403665,-0.080348261
triangle,567.8722581,556.1561176,-0.395210729,-0.433962198,8.936828663,7.935091672,0.029877661,0.026742798,372,425,-11.71614042,-0.038751469
fraud,633.9768252,622.2960526,-0.124518763,-0.191577511,9.481218306,9.106028918,0.037135771,0.032686199,349,342,-11.68077259,-0.067058748
signature,561.973404,550.5074237,-0.429612496,-0.460625515,8.111301173,8.517267223,0.025939056,0.027397761,349,380,-11.46598035,-0.031013019
car,514.6244936,503.1595646,-0.62514713,-0.6617151,7.039621724,7.314424926,0.024386742,0.025591156,393,356,-11.46492904,-0.03656797
brave,520.2047688,508.7954274,-0.588037397,-0.625130278,8.226970598,6.966107387,0.028321254,0.026681324,385,351,-11.40934147,-0.037092881
sign,554.4891633,543.3326234,-0.460693324,-0.495501596,9.396619169,9.132755848,0.032084366,0.030875204,392,385,-11.15653989,-0.034808272
mistake,553.4615577,542.5616282,-0.467471209,-0.525772026,8.756416466,7.81669485,0.029563938,0.026152619,355,350,-10.89992954,-0.058300817
need,562.6984466,552.0107929,-0.456226038,-0.463823634,10.50591344,9.873823791,0.032660282,0.033948951,365,367,-10.68765365,-0.007597596
injury,565.2112179,554.6092861,-0.412398548,-0.413894084,9.354267189,6.895944763,0.028196519,0.025873349,358,367,-10.60193176,-0.001495536
amazing,527.7098608,517.1581349,-0.582333746,-0.570299876,7.966716098,7.849538594,0.025971935,0.026967993,395,378,-10.55172584,0.01203387
problem,538.6034665,528.0871662,-0.53626089,-0.527900427,9.757786989,9.015836608,0.030024613,0.030553116,358,325,-10.51630032,0.008360463
world,544.1775571,533.7975302,-0.523011221,-0.546602583,8.657894697,9.362440477,0.028046777,0.031155878,359,364,-10.38002687,-0.023591361
period,534.4420981,524.2739544,-0.568677091,-0.595955866,7.80849999,7.959908807,0.024257469,0.026523059,387,329,-10.1681437,-0.027278775
accompany,630.461383,620.4186356,-0.149520667,-0.206979043,10.22546769,9.338277641,0.035164742,0.028780851,329,376,-10.04274735,-0.057458377
normal,530.7145877,520.8109922,-0.54425644,-0.594352934,9.627556519,8.056004907,0.033320401,0.028538926,325,386,-9.903595473,-0.050096493
transfer,582.4665259,572.6097311,-0.361675499,-0.374243942,10.3027195,8.838766753,0.031018348,0.029373079,367,357,-9.856794794,-0.012568443
funeral,568.8324073,558.997938,-0.412122051,-0.433796711,9.138911058,8.844158288,0.029009527,0.028465276,356,371,-9.834469273,-0.02167466
performance,594.3727879,584.7357564,-0.307299466,-0.352868758,9.754138726,8.793881112,0.030014687,0.027160194,363,349,-9.637031418,-0.045569292
structure,569.7473132,560.1540974,-0.398489149,-0.410059698,8.864908537,7.16405676,0.026187894,0.025430443,364,421,-9.593215791,-0.011570549
danger,541.5194333,531.9634535,-0.528059949,-0.538176461,10.04701434,8.11272607,0.034177252,0.026127387,330,366,-9.555979797,-0.010116512
confidence,564.1791847,554.717074,-0.402143137,-0.43599292,9.096786726,9.368986794,0.02747783,0.029827579,352,338,-9.462110696,-0.033849783
statue,604.341015,595.020057,-0.28693495,-0.296278935,12.26137153,10.75250289,0.03668486,0.036132478,334,351,-9.320958,-0.009343985
spirit,544.485903,535.3042374,-0.526292647,-0.52937144,7.939323723,9.0410786,0.025911561,0.030233699,361,358,-9.181665613,-0.003078793
attempt,558.6925932,550.0590303,-0.447159474,-0.471733825,8.024852897,8.308285877,0.027415561,0.027342001,381,330,-8.633562871,-0.024574351
nation,570.0633876,561.7595611,-0.438579455,-0.407673335,9.242859165,9.077732602,0.02962029,0.031885815,387,385,-8.303826541,0.03090612
mirror,538.1360102,530.0001203,-0.531110455,-0.530969207,8.38463697,8.164029839,0.027467708,0.028754064,393,349,-8.135889845,0.000141249
beer,516.7224118,508.606317,-0.604265331,-0.630043085,7.630758925,9.130451019,0.026404135,0.029426655,374,306,-8.116094806,-0.025777754
ugly,551.0103983,543.1159917,-0.476150584,-0.525666037,8.443880184,9.220786832,0.02705737,0.028122897,477,361,-7.89440664,-0.049515453
dream,531.8844773,524.0033372,-0.545254551,-0.575059534,8.588859394,7.899145613,0.030706667,0.026541919,352,347,-7.881140081,-0.029804983
machine,548.8575055,541.011,-0.502326361,-0.530230018,9.400000544,8.84940106,0.02996889,0.030000046,364,353,-7.846505483,-0.027903657
democracy,618.2585486,610.4338511,-0.177903486,-0.207833043,9.359929501,8.003529846,0.031995963,0.024570781,381,376,-7.824697507,-0.029929558
break,519.2191132,511.4368132,-0.593723017,-0.609346072,7.634667553,7.937714988,0.027661447,0.028107981,362,348,-7.782300035,-0.015623055
capitalism,620.5769721,612.8921,-0.198613109,-0.188680187,10.42400644,10.56951478,0.034769236,0.032939216,323,360,-7.684872144,0.009932922
fatal,610.728188,603.1644438,-0.267264153,-0.263681865,9.873809508,9.863516497,0.031006168,0.033782315,367,365,-7.563744165,0.003582288
elegant,604.3777369,596.9970453,-0.27185741,-0.279046592,10.27550379,9.943062896,0.034023814,0.033827876,361,353,-7.380691522,-0.007189181
classic,533.2535706,526.2878735,-0.560961296,-0.568333189,10.52702118,8.95716834,0.033157016,0.028257728,340,324,-6.96569712,-0.007371893
speed,546.0324048,539.0747514,-0.537514456,-0.529390935,11.55216547,9.565792387,0.033433344,0.030430874,331,358,-6.957653438,0.008123521
mercy,561.7812251,554.8322546,-0.430732202,-0.451057855,10.53224552,9.001503365,0.032257558,0.029857286,342,377,-6.948970504,-0.020325653
magazine,580.1963327,573.2567337,-0.437116634,-0.401660792,9.87820471,9.724301465,0.027837321,0.032164228,376,368,-6.93959903,0.035455843
soda,565.5786322,558.6683701,-0.452135925,-0.433425429,10.35204146,8.335947441,0.030823244,0.029520776,367,335,-6.910262007,0.018710496
authority,601.9933134,595.1990504,-0.297245697,-0.310758721,10.19977919,9.516608637,0.030895971,0.028711124,351,377,-6.794263001,-0.013513024
vote,539.6185802,532.8275588,-0.519647503,-0.553262311,7.831440251,8.267999097,0.026692591,0.02749474,374,374,-6.791021375,-0.033614808
advise,580.4356905,573.7722336,-0.313607668,-0.379169384,10.59663827,9.311539606,0.037948078,0.031804756,387,351,-6.663456836,-0.065561716
passport,562.0197802,555.3587373,-0.422495719,-0.481575364,8.748814574,8.092700112,0.027304929,0.026189324,373,354,-6.661042873,-0.059079645
hell,543.3398242,536.7632104,-0.489222855,-0.546880987,7.550412047,10.69741722,0.027481171,0.033647366,421,347,-6.576613853,-0.057658133
remarkable,639.5419227,633.3006156,-0.130656606,-0.141062445,10.87945174,8.75570155,0.03393504,0.029437745,375,333,-6.241307049,-0.010405839
believe,528.543787,522.3304135,-0.57949064,-0.571156492,9.524418059,8.68778007,0.028661811,0.026647921,338,341,-6.213373488,0.008334148
knew,548.8804958,542.7090217,-0.455170397,-0.507389747,8.759617127,8.998081762,0.03156779,0.030775589,359,323,-6.171474147,-0.05221935
romantic,551.4512265,545.3177207,-0.470479632,-0.443307769,8.432352021,8.201898833,0.028937076,0.027155752,415,376,-6.133505767,0.027171863
exaggerate,665.169189,659.0561474,-0.021554764,0.008071997,11.12328056,10.12929513,0.035791034,0.033682271,344,346,-6.11304157,0.029626761
passion,571.4425283,565.4568912,-0.37923938,-0.404197783,8.496747442,9.527790288,0.03110194,0.03279248,371,340,-5.985637114,-0.024958403
joy,526.2622459,520.3892568,-0.579735591,-0.555553382,7.294949218,7.607404868,0.02736226,0.027669116,362,366,-5.872989041,0.024182209
airport,550.6601563,545.0449973,-0.48100712,-0.498319026,8.802078533,9.551151114,0.029112367,0.028061303,339,369,-5.615159055,-0.017311907
strange,567.736082,562.1296164,-0.422396173,-0.449527875,9.613829315,10.16666417,0.030264489,0.030230971,366,391,-5.606465605,-0.027131702
woman,526.2220705,520.6766459,-0.550659461,-0.593486719,8.079961308,8.040294276,0.029044237,0.029440631,312,370,-5.545424572,-0.042827259
product,537.9565146,532.4406793,-0.516980783,-0.520638927,7.840936042,8.128564904,0.028441455,0.027380824,377,343,-5.515835306,-0.003658143
emotional,547.6977328,542.245654,-0.461620894,-0.511749745,8.503884081,8.17491264,0.029379406,0.023863942,363,367,-5.452078825,-0.050128851
minister,608.9315186,603.4874873,-0.248135253,-0.231510995,9.17008473,9.693749947,0.031369756,0.03294942,349,355,-5.444031282,0.016624258
phrase,590.1686338,584.7481035,-0.332962616,-0.329990427,9.938257064,10.73709813,0.031762022,0.03377554,355,348,-5.420530344,0.002972189
professional,586.0769312,580.6653395,-0.345912222,-0.359701578,9.335630277,10.62285454,0.02887215,0.032547718,378,324,-5.411591721,-0.013789356
ironic,594.8329484,589.4653646,-0.327788191,-0.306839918,11.01189609,9.976274093,0.034157077,0.033923156,368,384,-5.367583788,0.020948272
bacon,564.1875561,558.9400443,-0.428109236,-0.429772958,9.366817541,9.68227768,0.031639748,0.031932277,374,361,-5.247511812,-0.001663722
detective,589.4088185,584.1991684,-0.347833398,-0.352376765,8.168545089,9.615164288,0.024294986,0.0289928,358,392,-5.20965008,-0.004543366
invest,585.7238346,580.5242402,-0.362488415,-0.355172458,9.802277784,10.12714122,0.031882608,0.032783103,387,358,-5.199594388,0.007315958
amount,555.8042853,550.723362,-0.439567381,-0.485422547,9.602430593,9.291270938,0.031133831,0.032820515,361,326,-5.080923343,-0.045855167
convent,683.5730833,678.4988509,-0.007695068,0.024570367,14.23554354,13.69896753,0.044848793,0.047318683,324,322,-5.074232399,0.032265435
description,599.838808,594.9746022,-0.290124443,-0.306648693,8.92542459,8.677684193,0.027613658,0.029238994,349,372,-4.864205869,-0.01652425
different,565.7442166,561.1361225,-0.457139984,-0.432649842,11.24658288,9.839065525,0.031920884,0.033435373,337,351,-4.608094108,0.024490142
outcome,567.9364254,563.366678,-0.399204685,-0.418954783,8.827287546,9.471284154,0.028270683,0.031478902,362,354,-4.569747459,-0.019750099
flour,549.7266011,545.2335878,-0.487298647,-0.484252567,8.671299416,7.960105098,0.02902918,0.027402567,366,393,-4.493013305,0.00304608
compassion,586.4302066,582.062462,-0.358847653,-0.343786972,9.210064115,9.507980423,0.029503831,0.030956746,380,303,-4.367744553,0.015060681
timer,592.9684945,588.629345,-0.311787431,-0.301943473,9.469338714,10.25490245,0.032337754,0.032704656,364,371,-4.339149486,0.009843958
dress,534.1165066,529.9084364,-0.556320608,-0.571929724,8.491137525,8.133944565,0.029450239,0.027783955,377,401,-4.208070226,-0.015609116
poem,593.4099716,589.2388011,-0.307497733,-0.294015822,9.785688662,9.260154226,0.032888978,0.030915041,378,362,-4.17117048,0.013481911
wizard,565.3076491,561.2607437,-0.48286055,-0.445033369,10.04925871,8.308927318,0.027182329,0.029540807,379,359,-4.046905353,0.037827181
funny,513.7485092,509.7546789,-0.604568109,-0.620681098,7.633743411,8.21926601,0.02797588,0.028566941,328,327,-3.993830241,-0.016112988
additional,579.1398416,575.236643,-0.380385801,-0.398041264,9.606220136,9.218111165,0.028622645,0.02834489,385,409,-3.90319854,-0.017655464
length,533.7691989,529.9713244,-0.5394343,-0.523015081,9.051475843,8.127423781,0.028645108,0.029732699,372,373,-3.797874525,0.016419218
